,price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,brand
43813,5500,2010,toyota corolla,3,4,gas,157459,automatic,sedan,grey,0,toyota
43814,21500,2013,jeep wrangler unlimited,3,6,gas,85737,automatic,SUV,black,1,jeep
43815,9950,2011,toyota camry,3,4,gas,65653,automatic,sedan,silver,0,toyota
43816,34000,2017,chevrolet silverado 1500,3,8,gas,29600,automatic,pickup,black,1,chevrolet
43817,10950,2017,nissan altima,3,4,gas,87464,automatic,sedan,silver,0,nissan
43818,8650,2011,toyota camry,3,4,gas,120000,automatic,sedan,red,0,toyota
43819,12950,2017,hyundai elantra,3,4,gas,38902,automatic,sedan,blue,0,hyundai
43820,13950,2017,hyundai elantra,3,4,gas,6609,automatic,sedan,red,0,hyundai
43821,5950,2006,honda accord,3,4,gas,146005,automatic,coupe,unknown,0,honda
43822,3000,1998,ford f-150,2,8,gas,216000,automatic,pickup,white,0,ford
43823,13950,2018,ford fusion,3,4,hybrid,80750,automatic,sedan,white,0,ford
43824,5500,2007,chevrolet suburban,1,8,gas,145000,automatic,SUV,black,1,chevrolet
43825,13000,2013,chevrolet cruze,4,4,gas,25000,automatic,sedan,red,0,chevrolet
43826,9999,2015,kia soul,3,4,gas,64252,automatic,SUV,unknown,0,kia
43827,5500,2006,ford mustang,3,6,gas,95000,manual,coupe,white,0,ford
43828,6999,2013,kia sorento,2,4,gas,106375,automatic,SUV,grey,0,kia
43829,6680,2013,kia soul,2,4,gas,115935,automatic,wagon,green,0,kia
43830,4999,2010,hyundai elantra,2,4,gas,106935,automatic,sedan,black,0,hyundai
43831,1500,1997,chevrolet camaro,2,6,gas,185000,manual,coupe,green,0,chevrolet
43832,16000,2013,ford f-150,3,6,gas,158700,automatic,truck,white,1,ford
43833,10300,2010,chevrolet camaro,3,6,gas,115000,automatic,coupe,unknown,0,chevrolet
43834,13000,2007,chevrolet tahoe,4,8,gas,125711,automatic,SUV,white,1,chevrolet
43835,6000,2009,ram 1500,3,8,gas,131000,automatic,truck,black,0,ram
43836,4000,2008,nissan altima,3,4,gas,161000,automatic,coupe,white,0,nissan
43837,6900,2010,acura tl,3,6,gas,146000,automatic,sedan,unknown,0,acura
43838,10500,2009,chevrolet silverado 1500,2,8,gas,146000,automatic,truck,red,1,chevrolet
43839,2800,1986,chevrolet corvette,1,8,gas,131500,automatic,coupe,red,0,chevrolet
43841,16990,2014,chevrolet silverado 1500,3,8,gas,86000,automatic,pickup,unknown,0,chevrolet
43842,6495,2009,jeep liberty,1,6,gas,164000,automatic,SUV,unknown,1,jeep
43843,4995,2010,chevrolet malibu,2,6,gas,152000,automatic,hatchback,unknown,0,chevrolet
43844,14950,2015,chevrolet silverado,4,8,gas,71000,automatic,truck,silver,0,chevrolet
43845,5950,2012,nissan sentra,4,4,gas,118950,automatic,sedan,black,0,nissan
43846,7490,2009,ford explorer,3,6,gas,113000,automatic,SUV,unknown,0,ford
43847,4500,2008,honda civic,2,6,gas,150000,automatic,coupe,grey,0,honda
